type,indicator,classification,detected_date
domain,5.2.1.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,1.9.5.0.9.1.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,8.1.9.5.0.9.1.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,9.a.d.0.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,d.d.e.0.6.3.0.0.0.7.4.0.1.0.0.2.ip6.arpa,malicious,2026-02-25
domain,30iptv.net,malicious,2026-02-24
domain,3dimensionality.com,malicious,2026-02-24
domain,99shoppro.com,malicious,2026-02-24
domain,accessoriesforbikers.motorcycles,malicious,2025-09-26
domain,acebutololastacidae.art,malicious,2025-08-01
domain,actinismloeil.sbs,malicious,2025-12-25
domain,adanalyticshub.com,malicious,2026-02-24
domain,adfixfusion.com,malicious,2025-09-15
domain,adhesiveatypical.yachts,malicious,2025-12-29
domain,adjunctsim.sbs,malicious,2026-02-24
domain,adoptionastronauts.org.uk,malicious,2026-02-24
domain,adsanalyticas.com,malicious,2026-02-24
domain,advfn8trk.com,malicious,2025-10-24
domain,aetherionrewards.com,malicious,2026-01-08
domain,agooodtimenotalongtime.com,malicious,2026-02-24
domain,agrihat.sbs,malicious,2026-02-24
domain,aiprocessonline.xyz,malicious,2026-02-24
domain,alazago.com,malicious,2026-02-24
domain,amarr-las.pro,malicious,2026-02-24
domain,americanfishingspots.fun,malicious,2025-12-05
domain,americanshoestore.lat,malicious,2025-03-06
domain,americanstoreshop.sbs,malicious,2026-02-24
domain,amorlamor.digital,malicious,2026-02-24
domain,analytics.warszawa.pl,malicious,2026-02-24
domain,angiotelectasiascholastic.yachts,malicious,2026-02-24
domain,answerandfindout.info,malicious,2025-08-11
domain,antiviralsoftwares.store,malicious,2026-01-28
domain,apart-early-cold-spirit.run,malicious,2025-12-05
domain,apocalypto.org.uk,malicious,2026-02-24
domain,apodeixisstationary.space,malicious,2026-02-24
domain,aprelniks.world,malicious,2026-02-24
domain,aqslg7trk.com,malicious,2025-03-02
domain,aquaharmony101.com,malicious,2026-02-24
domain,arcadaboat.com,malicious,2026-02-24
domain,arizonaloud.de,malicious,2026-02-24
domain,artificialinteke.com,malicious,2026-02-24
domain,astralevo.com,malicious,2025-12-04
domain,astralpulse.su,malicious,2025-05-25
domain,aurf.eu,suspicious,2025-12-24
domain,averconciliatory.shop,malicious,2025-12-09
domain,azbucir.com,malicious,2025-05-02
domain,barbitaluninspired.autos,malicious,2025-12-09
domain,baremultihost.com,suspicious,2025-07-01
domain,bargainbonanzastore.com,malicious,2026-02-24
domain,bargainhunterparadise.com,malicious,2025-11-21
domain,bariepase.website,malicious,2026-02-24
domain,bassindifferently.lat,malicious,2025-08-13
domain,bastidi.com,malicious,2025-10-31
domain,bcmgj.cc,suspicious,2025-06-24
domain,beastdays.icu,malicious,2026-02-24
domain,beeryduma.beauty,malicious,2025-12-02
domain,bendermetals.com,malicious,2026-02-24
domain,bestbeachproducts.cc,malicious,2025-11-19
domain,bestqualityproducts.skin,malicious,2025-12-09
domain,binbager.com,malicious,2026-02-24
domain,blinkygadgets.com,malicious,2026-02-24
domain,bluenature101.com,malicious,2026-02-24
domain,blurouteink.com,malicious,2025-03-11
domain,bndsr6sdtrk.com,malicious,2026-02-24
domain,bokatrad.de,malicious,2025-12-16
domain,bonechainstop.shop,malicious,2025-12-09
domain,bonezeym.store,malicious,2026-01-22
domain,bonusfeedback.guru,malicious,2026-02-24
domain,booliver.com,malicious,2026-02-24
domain,boterk.com,malicious,2026-02-24
domain,boulderjupe.info,malicious,2025-09-10
domain,bpsystemdgtl.com,malicious,2025-11-02
domain,bqiurr.com,malicious,2025-07-20
domain,brandsbrazil.com,suspicious,2025-04-30
domain,brightflow.st,malicious,2025-08-24
domain,brilliantlystays.world,malicious,2026-02-24
domain,briope.com,malicious,2026-02-24
domain,brushaskcor.com,malicious,2026-02-24
domain,bschaffercancer.com,malicious,2026-02-24
domain,bujravesen.website,malicious,2026-02-24
domain,bukreap.com,malicious,2025-04-24
domain,buypowahh.net,malicious,2026-02-24
domain,buyviralvideos.shop,malicious,2025-07-30
domain,buyvistacenter.com,malicious,2026-02-24
domain,buywithdiscount.store,malicious,2026-02-24
domain,cagisogrenciyurdu.com,malicious,2026-02-24
domain,cantbeattheseprices.pro,malicious,2026-02-24
domain,canyonmealybug.makeup,malicious,2026-02-07
domain,capitalismsobriety.xyz,malicious,2026-02-24
domain,carinfopoint.info,malicious,2025-11-19
domain,caseofwork.com,malicious,2025-05-08
domain,cashinsightnow.com,malicious,2026-02-24
domain,castolorina.com,malicious,2025-10-09
domain,catalystserverdomain.com,malicious,2026-02-24
domain,catasai.com,malicious,2026-02-24
domain,cdexha.de,malicious,2026-02-24
domain,celvoriaawardsfya.com,malicious,2026-02-24
domain,cesarsgadgetinis.info,malicious,2025-07-13
domain,chalybeateicky.sbs,malicious,2025-03-03
domain,championhealthyfoods.com,malicious,2026-02-24
domain,charundiversified.sbs,malicious,2025-11-29
domain,chclatesdabst.com,malicious,2025-12-12
domain,cheapbonanzaoutlet.com,malicious,2026-02-24
domain,cheapbusinesscards.cc,malicious,2025-10-16
domain,cheapperfume.shop,malicious,2025-12-17
domain,cheapperfume.shop,malicious,2025-12-17
domain,cheapsol.store,malicious,2026-01-16
domain,cheaptriptomykonos.store,malicious,2025-12-18
domain,chedalne.sbs,malicious,2026-02-24
domain,chicklach.website,malicious,2026-02-24
domain,chinseir.com,malicious,2026-02-24
domain,chisholmeffect.com,malicious,2026-02-24
domain,clabinoj.com,malicious,2025-08-29
domain,claimtoday.store,suspicious,2025-08-08
domain,clammilyhamlet.boats,malicious,2025-10-17
domain,clickearnpanel.com,malicious,2026-02-24
domain,clickforradar.com,malicious,2026-02-24
domain,clickrewardflow.com,malicious,2025-08-08
domain,clickvoyagers.com,malicious,2026-02-24
domain,clickyfun.online,malicious,2025-10-09
domain,clipresource.com,malicious,2026-02-24
domain,clorurbed.com,malicious,2026-02-24
domain,clutchingloss.net,malicious,2026-02-24
domain,codeworksquick.com,malicious,2025-04-28
domain,collaboratecode.com,malicious,2025-07-17
domain,collectivenessproserpina.online,malicious,2025-02-26
domain,compostortarp.com,malicious,2026-02-24
domain,compteralps.xyz,malicious,2026-02-24
domain,conikblind.online,malicious,2026-02-24
domain,connectadvancetech.com,malicious,2025-06-07
domain,constellationprizes.com,malicious,2025-07-30
domain,construexpressgt.net,malicious,2025-10-28
domain,consumerfeedback.plus,malicious,2025-04-22
domain,consumerspecial.pro,malicious,2026-02-24
domain,convertkit-mail2.com,malicious,2026-02-24
domain,cookstowns.com,malicious,2026-02-24
domain,coperhanger.site,malicious,2026-02-24
domain,cordwainidiom.homes,malicious,2026-02-24
domain,corebastionity.com,malicious,2025-12-12
domain,corevistathehub.info,malicious,2026-02-24
domain,cosmic82.com,malicious,2026-02-24
domain,cosmicmind.su,suspicious,2025-12-29
domain,cosmicsurveys.com,malicious,2026-02-24
domain,cosmotry.com,malicious,2026-02-24
domain,countrisdicts.com,malicious,2025-06-27
domain,coupleschaste.fun,malicious,2026-02-24
